;Link;BibtexID;ResponsiblePerson;Title;StudyType;Dataset;Domain of tests [other];DataPyramid;DatasetFeatures;Coupled/Decoupled;GroundTruthType;RecommendationType;GroupSizes;Baselines;GroupConstruction;GroupDuration;EvaluationDimensions;ReproducibleCode;ReproducibleData;ReproducibleGroups;ReproducibleEvalProtocol;Notes;ParsedDataset;DatasetHighLevel;ParsedDatasetHighLevel;ParsedBaselines;EvaluationDimensionsHighLevel;ParsedDomain;ParsedGroupConstruction;ParsedGroupConstructionHighLevel;ParsedGroupSizes;bib_text;bib_ID;bib_title;bib_authors;bib_year;bib_venue;bib_venue_long;bib_venue_type;bib_doi;bib_url;bib_publisher
16;https://www.sciencedirect.com/science/article/pii/S0950705118305574;;LP;Group recommender systems: A multi-agent solution;offline;ml_latest_small,yelp;movies,pois;No_groups;;Decoupled;Individual;One-session;3-5;item-based,preference-aggregation;random;Ephemeral;relevance,fairness,privacy;Algorithm only;Data;GenerationProcedure;;;['ml_latest_small', 'yelp'];ml_latest_small,yelp;['yelp', 'other'];['item-based', 'profile-aggregation'];['relevance', 'fairness', 'privacy'];['movies', 'pois'];['random'];['random'];[4.0];" @article{Villavicencio_2019, title={Group recommender systems: A multi-agent solution}, volume={164}, ISSN={0950-7051}, url={http://dx.doi.org/10.1016/j.knosys.2018.11.013}, DOI={10.1016/j.knosys.2018.11.013}, journal={Knowledge-Based Systems}, publisher={Elsevier BV}, author={Villavicencio, Christian and Schiaffino, Silvia and Andres Diaz-Pace, J. and Monteserin, Ariel}, year={2019}, month=jan, pages={436–458} }
";Villavicencio_2019;Group recommender systems: A multi-agent solution;['Villavicencio, Christian', 'Schiaffino, Silvia', 'Andres Diaz-Pace, J.', 'Monteserin, Ariel'];2019;Knowledge-Based Systems;;article;10.1016/j.knosys.2018.11.013;http://dx.doi.org/10.1016/j.knosys.2018.11.013;Elsevier BV
17;https://www.sciencedirect.com/science/article/pii/S095741741730742X;;LP;A fuzzy approach for natural noise management in group recommender systems - ScienceDirect;offline;ml100k,netflix_tiny;movies;No_groups;;Coupled;Individual;One-session;5-15;item-based;random;Ephemeral;relevance(mae);Algorithm only;Data;GenerationProcedure;;;['ml100k', 'netflix_tiny'];ml100k,netflix_tiny;['ml100k', 'other'];['item-based'];['relevance'];['movies'];['random'];['random'];[10.0];" @article{Castro_2018, title={A fuzzy approach for natural noise management in group recommender systems}, volume={94}, ISSN={0957-4174}, url={http://dx.doi.org/10.1016/j.eswa.2017.10.060}, DOI={10.1016/j.eswa.2017.10.060}, journal={Expert Systems with Applications}, publisher={Elsevier BV}, author={Castro, Jorge and Yera, Raciel and Martínez, Luis}, year={2018}, month=mar, pages={237–249} }
";Castro_2018;A fuzzy approach for natural noise management in group recommender systems;['Castro, Jorge', 'Yera, Raciel', 'Martínez, Luis'];2018;Expert Systems with Applications;;article;10.1016/j.eswa.2017.10.060;http://dx.doi.org/10.1016/j.eswa.2017.10.060;Elsevier BV
18;https://dl.acm.org/doi/abs/10.1145/2987381;;LP;Personalized Group Recommender Systems for Location- and Event-Based Social Networks;offline;gowalla;poissoc.network;GroupDecisions;;Coupled;Group;One-session;2-4;item-based;organic(spatio-temporalproximitywithfriendslink);Permanent;relevance;Algorithm only;Data for checkins, generation procedure for data extensions;GenerationProcedure;;;['gowalla'];gowalla;['gowalla'];['item-based'];['relevance'];['poissoc.network'];['organic(spatio-temporalproximitywithfriendslink)'];['organic'];[3.0];" @article{Purushotham_2016, title={Personalized Group Recommender Systems for Location- and Event-Based Social Networks}, volume={2}, ISSN={2374-0361}, url={http://dx.doi.org/10.1145/2987381}, DOI={10.1145/2987381}, number={4}, journal={ACM Transactions on Spatial Algorithms and Systems}, publisher={Association for Computing Machinery (ACM)}, author={Purushotham, Sanjay and Kuo, C.-C. Jay}, year={2016}, month=nov, pages={1–29} }
";Purushotham_2016;Personalized Group Recommender Systems for Location- and Event-Based Social Networks;['Purushotham, Sanjay', 'Kuo, C.-C. Jay'];2016;ACM Transactions on Spatial Algorithms and Systems;;article;10.1145/2987381;http://dx.doi.org/10.1145/2987381;ACM
21;https://dl.acm.org/doi/abs/10.1145/3462759;;LP;Integrating Collaboration and Leadership in Conversational Group Recommender Systems;userstudy;-;skiing;GroupDecisions;68 participants, 17 groups, 153 skiing resorts;Not applicable;Group;One-session;4;item-based;notspecified;Ephemeral;relevance,interfaceperception;Algorithm only;General characteristics only;Detailed groups statistics;;;['-'];-;['-'];['item-based'];['relevance', 'questionnaire-based'];['skiing'];['notspecified'];['unknown / not applicable'];[4.0];" @article{Contreras_2021, title={Integrating Collaboration and Leadership in Conversational Group Recommender Systems}, volume={39}, ISSN={1558-2868}, url={http://dx.doi.org/10.1145/3462759}, DOI={10.1145/3462759}, number={4}, journal={ACM Transactions on Information Systems}, publisher={Association for Computing Machinery (ACM)}, author={Contreras, David and Salamó, Maria and Boratto, Ludovico}, year={2021}, month=aug, pages={1–32} }
";Contreras_2021;Integrating Collaboration and Leadership in Conversational Group Recommender Systems;['Contreras, David', 'Salamó, Maria', 'Boratto, Ludovico'];2021;ACM Transactions on Information Systems;;article;10.1145/3462759;http://dx.doi.org/10.1145/3462759;ACM
22;https://www.degruyter.com/document/doi/10.1515/jisys-2018-0081/html;;LP;Group Recommender Systems – An Evolutionary Approach Based on Multi-expert System for Consensus;offline;synthetic;nodomain;Synthetic;;Not applicable;Other/Unknown;One-session;2-10;item-based;synthetic;Ephemeral;relevance;Algorithm only;;;;;['synthetic'];synthetic;['synthetic'];['item-based'];['relevance'];['nodomain'];['synthetic'];['synthetic'];[6.0];" @article{Meena_2018, title={Group Recommender Systems – An Evolutionary Approach Based on Multi-expert System for Consensus}, volume={29}, ISSN={0334-1860}, url={http://dx.doi.org/10.1515/jisys-2018-0081}, DOI={10.1515/jisys-2018-0081}, number={1}, journal={Journal of Intelligent Systems}, publisher={Walter de Gruyter GmbH}, author={Meena, Ritu and Minz, Sonajharia}, year={2018}, month=nov, pages={1092–1108} }
";Meena_2018;Group Recommender Systems – An Evolutionary Approach Based on Multi-expert System for Consensus;['Meena, Ritu', 'Minz, Sonajharia'];2018;Journal of Intelligent Systems;;article;10.1515/jisys-2018-0081;http://dx.doi.org/10.1515/jisys-2018-0081;Walter de Gruyter GmbH
23;https://www.sciencedirect.com/science/article/pii/S0167923621001731;;LP;Aggregating user preferences in group recommender systems: A crowdsourcing approach;offline;camra2011;movies;GroupDecisions;;Decoupled;Individual;One-session;?;item-based;organic(households);Permanent;relevance,fairness;Algorithm only;Problems: cannot obtain the data anymore - double check;;;;['camra2011'];camra2011;['camra2011'];['item-based'];['relevance', 'fairness'];['movies'];['organic(households)'];['organic'];[];" @article{Ismailoglu_2022, title={Aggregating user preferences in group recommender systems: A crowdsourcing approach}, volume={152}, ISSN={0167-9236}, url={http://dx.doi.org/10.1016/j.dss.2021.113663}, DOI={10.1016/j.dss.2021.113663}, journal={Decision Support Systems}, publisher={Elsevier BV}, author={Ismailoglu, Firat}, year={2022}, month=jan, pages={113663} }
";Ismailoglu_2022;Aggregating user preferences in group recommender systems: A crowdsourcing approach;['Ismailoglu, Firat'];2022;Decision Support Systems;;article;10.1016/j.dss.2021.113663;http://dx.doi.org/10.1016/j.dss.2021.113663;Elsevier BV
25;https://link.springer.com/article/10.1007/s40558-017-0099-y;;LP;A chat-based group recommender system for tourism;userstudy;-;pois;GroupDecisions;15 participants, 6 groups, 1800 POIs;Not applicable;Individual;One-session;2-3;-;organic(freedecisionofparticipants);Ephemeral;relevance,interfaceperception;Algorithm only;General characteristics only;General characteristics only;;;['-'];-;['-'];['-'];['relevance', 'questionnaire-based'];['pois'];['organic(freedecisionofparticipants)'];['organic'];[2.0];" @article{Nguyen_2017, title={A chat-based group recommender system for tourism}, volume={18}, ISSN={1943-4294}, url={http://dx.doi.org/10.1007/s40558-017-0099-y}, DOI={10.1007/s40558-017-0099-y}, number={1–4}, journal={Information Technology &amp; Tourism}, publisher={Springer Science and Business Media LLC}, author={Nguyen, Thuy Ngoc and Ricci, Francesco}, year={2017}, month=dec, pages={5–28} }
";Nguyen_2017;A chat-based group recommender system for tourism;['Nguyen, Thuy Ngoc', 'Ricci, Francesco'];2017;"Information Technology &amp; Tourism";;article;10.1007/s40558-017-0099-y;http://dx.doi.org/10.1007/s40558-017-0099-y;Springer
26;https://ieeexplore.ieee.org/abstract/document/8074655;;LP;A combination of individual model on memory-based group recommender system to the books domain;offline;amazonbooks;books;No_groups;;Coupled;Individual;One-session;2-7;-;similar;Ephemeral;relevance(rmse,ndcg,f1);Algorithm only;Data;Problems: inner group similarity not clearly defined;;;['amazonbooks'];amazonbooks;['other'];['-'];['relevance'];['books'];['similar'];['similar'];[4.0];" @inproceedings{Ahmad_2017, title={A combination of individual model on memory-based group recommender system to the books domain}, url={http://dx.doi.org/10.1109/icoict.2017.8074655}, DOI={10.1109/icoict.2017.8074655}, booktitle={2017 5th International Conference on Information and Communication Technology (ICoIC7)}, publisher={IEEE}, author={Ahmad, Hafidz Shohihuddin and Nurjanah, Dade and Rismala, Rita}, year={2017}, month=may }
";Ahmad_2017;A combination of individual model on memory-based group recommender system to the books domain;['Ahmad, Hafidz Shohihuddin', 'Nurjanah, Dade', 'Rismala, Rita'];2017;ICoIC;2017 5th International Conference on Information and Communication Technology (ICoIC7);inproceedings;10.1109/icoict.2017.8074655;http://dx.doi.org/10.1109/icoict.2017.8074655;IEEE
27;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9644586;;AD;A Novel Group Recommendation Model With Two-Stage Deep Learning;offline;mafengwo,camra2011,ml1m;venues(pois),movies;GroupDecisions;;Coupled;Group;One-session;"avg: 7.19; 2.08; 5; 3 (only this is reported)";item-based,com,dpmf-cnn,mosan,agree,soagree;similar(user-userpearsoncorrealtionscoreabove0.27),random;Mixed;relevance(hr,ndcg);Algorithm only;"General characteristics; Data; ";General characteristics only;Problems: unclear ground truth;;['mafengwo', 'camra2011', 'ml1m'];mafengwo,camra2011,ml1m;['mafengwo', 'camra2011', 'ml1m'];['item-based', 'com', 'dpmf-cnn', 'mosan', 'agree', 'soagree'];['relevance'];['venues(pois)', 'movies'];['similar(user-userpearsoncorrealtionscoreabove0.27)', 'random'];['similar', 'random'];[7.0, 2.0, 5.0, 3.0];" @article{Huang_2022, title={A Novel Group Recommendation Model With Two-Stage Deep Learning}, volume={52}, ISSN={2168-2232}, url={http://dx.doi.org/10.1109/tsmc.2021.3131349}, DOI={10.1109/tsmc.2021.3131349}, number={9}, journal={IEEE Transactions on Systems, Man, and Cybernetics: Systems}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Huang, Zhenhua and Liu, Yajun and Zhan, Choujun and Lin, Chen and Cai, Weiwei and Chen, Yunwen}, year={2022}, month=sep, pages={5853–5864} }
";Huang_2022;A Novel Group Recommendation Model With Two-Stage Deep Learning;['Huang, Zhenhua', 'Liu, Yajun', 'Zhan, Choujun', 'Lin, Chen', 'Cai, Weiwei', 'Chen, Yunwen'];2022;IEEE Transactions on Systems, Man, and Cybernetics: Systems;;article;10.1109/tsmc.2021.3131349;http://dx.doi.org/10.1109/tsmc.2021.3131349;IEEE
28;https://link.springer.com/chapter/10.1007/978-3-319-44799-5_12;;LP;Hootle+: A Group Recommender System Supporting Preference Negotiation;userstudy;expedia;travel;GroupDecisions;39 participants, 9 groups, 151K hotels;Not applicable;Group;One-session;3-6;-;notspecified;Ephemeral;relevance,interfaceperception;Algorithm only;General characteristics only;General characteristics only;;;['expedia'];expedia;['other'];['-'];['relevance', 'questionnaire-based'];['travel'];['notspecified'];['unknown / not applicable'];[4.0];" @inbook{_lvarez_M_rquez_2016, title={Hootle+: A Group Recommender System Supporting Preference Negotiation}, ISBN={9783319447995}, ISSN={1611-3349}, url={http://dx.doi.org/10.1007/978-3-319-44799-5_12}, DOI={10.1007/978-3-319-44799-5_12}, booktitle={Collaboration and Technology}, publisher={Springer International Publishing}, author={Álvarez Márquez, Jesús Omar and Ziegler, Jürgen}, year={2016}, pages={151–166} }
";_lvarez_M_rquez_2016;Hootle+: A Group Recommender System Supporting Preference Negotiation;['Álvarez Márquez, Jesús Omar', 'Ziegler, Jürgen'];2016;CRIWG;Collaboration and Technology;inbook;10.1007/978-3-319-44799-5_12;http://dx.doi.org/10.1007/978-3-319-44799-5_12;Springer
29;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8960474;;AD;An Efficient Group Recommendation Model With Multiattention-Based Neural Networks;offline;meetup,ml1m;"events;movies";GroupDecisions;;Coupled;Group;One-session;3-8;item-based,com,dpmf-cnn,mosan,agree;similar(user-userpearsoncorrealtionscoreabove0.27),random;Ephemeral;relevance(map@n,recall@n,auc@n);Algorithm only;"Data (link does not work); General characteristics;";General characteristics only;;;['meetup', 'ml1m'];meetup,ml1m;['meetup', 'ml1m'];['item-based', 'com', 'dpmf-cnn', 'mosan', 'agree'];['relevance'];"['events;movies']";['similar(user-userpearsoncorrealtionscoreabove0.27)', 'random'];['similar', 'random'];[6.0];" @article{Huang_2020, title={An Efficient Group Recommendation Model With Multiattention-Based Neural Networks}, volume={31}, ISSN={2162-2388}, url={http://dx.doi.org/10.1109/tnnls.2019.2955567}, DOI={10.1109/tnnls.2019.2955567}, number={11}, journal={IEEE Transactions on Neural Networks and Learning Systems}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Huang, Zhenhua and Xu, Xin and Zhu, Honghao and Zhou, MengChu}, year={2020}, month=nov, pages={4461–4474} }
";Huang_2020;An Efficient Group Recommendation Model With Multiattention-Based Neural Networks;['Huang, Zhenhua', 'Xu, Xin', 'Zhu, Honghao', 'Zhou, MengChu'];2020;IEEE Transactions on Neural Networks and Learning Systems;;article;10.1109/tnnls.2019.2955567;http://dx.doi.org/10.1109/tnnls.2019.2955567;IEEE
