Evaluating Group Recommender Systems,BibtexID,ResponsiblePerson,Title,StudyType,Dataset,Domain of tests [other],DataPyramid,DatasetFeatures,Coupled/Decoupled,GroundTruthType,RecommendationType,GroupSizes,Baselines,GroupConstruction,GroupDuration,EvaluationDimensions,ReproducibleCode,ReproducibleData,ReproducibleGroups,ReproducibleEvalProtocol,Notes,
https://dl.acm.org/doi/abs/10.1145/3038912.3052612,,LP,Fairness in Package-to-Group Recommendations,Offline,Yelp,Travel,No_groups,,Decoupled,Individual,One-session ,4-16,-,Dissimilar,Ephemeral,"Relevance, Fairness",Algorithm,Data,GenerationProcedure,,,
https://dl.acm.org/doi/abs/10.1145/3038912.3052612,,LP,Fairness in Package-to-Group Recommendations,User Study,-,Movies,GroupDecisions,"10 participants, 4 groups",-,Group,One-session,2-4,random,not specified,Ephemeral,"Relevance, Fairness",Algorithm,General characteristics only,Not specified,,,
https://dl.acm.org/doi/pdf/10.1145/3511808.3557330,,AD,GBERT: Pre-training User representations for Ephemeral Group Recommendation,Offline,"Yelp, Weeplaces, Douban",POIs,GroupDecisions,,Coupled,Group,One-session,,"item-based, AGREE, MoSAN, GAME, KGAG, GroupIM",organic,Ephemeral (by eval. design),"Relevance (recall@k, nDCG@k)",Algorithm,Yelp and Douban datasets not available,Groups/GenerationProcedure,Links to weeplaces: https://www.yongliu.org/datasets/,,
https://www.sciencedirect.com/science/article/pii/S0020025522011100,,AD,Dynamically aggregating individuals’ social influence and interest evolution for group recommendations,Offline,"CAMRa2011, Mafengwo","Movies, Venues (POIs)",GroupDecisions,,Coupled,Group,One-session,,"item-based, Popularity, PIT, COM, AGREE, SoAGREE, SIGR, GroupSA, GAME",organic,Permanent,"Relevance (HR, NDCG)",Algorithm,Datasets not available,Groups,,,
https://www.sciencedirect.com/science/article/pii/S0950705118305574,,LP,Group recommender systems: A multi-agent solution,Offline,"ML_Latest_Small,Yelp","Movies, POIs",No_groups,,Decoupled,Individual,One-session,3-5,"item-based, preference-aggregation",Random,Ephemeral,"Relevance, Fairness, Privacy",Algorithm,Data,GenerationProcedure,,,
https://www.sciencedirect.com/science/article/pii/S095741741730742X,,LP,A fuzzy approach for natural noise management in group recommender systems - ScienceDirect,Offline,"ML100K, Netflix_tiny",Movies,No_groups,,Coupled,Individual,One-session,5-15,item-based,Random,Ephemeral,Relevance (MAE),Algorithm,Data,GenerationProcedure,,,
https://dl.acm.org/doi/abs/10.1145/2987381,,LP,Personalized Group Recommender Systems for Location- and Event-Based Social Networks,Offline,Gowalla,POIs soc. network,GroupDecisions (pseudo-groups with unary feedback),,Coupled,Group,One-session,2-4,item-based,organic (Spatio-temporal proximity with friends link),Permanent (at least 10 check-ins),Relevance,Algorithm,"Data for checkins, generation procedure for data extensions",GenerationProcedure,,,
https://dl.acm.org/doi/abs/10.1145/2987381,,LP,Personalized Group Recommender Systems for Location- and Event-Based Social Networks,Offline,Meetup,Events soc. network,GroupDecisions (Groups with unary feedback),,Coupled,Group,One-session,2-5,item-based,organic (Real-world user-defined groups),Permanent (at least 10 check-ins),Relevance,Algorithm,Problems: cannot obtain the data anymore - double check,Problems: cannot obtain the data anymore - double check,,,
https://www.sciencedirect.com/science/article/pii/S0020025516305424,,LP,Investigating the role of the rating prediction task in granularity-based group recommender systems and big data scenarios,Offline,"ML1M, Yahoo! Webscope (R4)",Movies,No_groups,,Coupled,Individual,One-session,20-500 clusters,none,Similar (k-means),Ephemeral,Relevance (RMSE),Algorithm,Data,GenerationProcedure,,to_remove,
https://dl.acm.org/doi/abs/10.1145/3462759,,LP,Integrating Collaboration and Leadership in Conversational Group Recommender Systems,User Study,-,Skiing,Group/GroupDecisions?,"68 participants, 17 groups, 153 skiing resorts",Questionaire,Individual+Group?,One-session,4,item-based,not specified,Ephemeral,"Relevance, Interface perception",Algorithm,General characteristics only,Detailed groups statistics,,,
https://www.degruyter.com/document/doi/10.1515/jisys-2018-0081/html,,LP,Group Recommender Systems – An Evolutionary Approach Based on Multi-expert System for Consensus,Offline,Synthetic,no domain,Synthetic,,Synthetic,Synthetic,One-session,2-10,item-based,Synthetic,Ephemeral,Relevance,Algorithm,,,,,
https://www.sciencedirect.com/science/article/pii/S0167923621001731,,LP,Aggregating user preferences in group recommender systems: A crowdsourcing approach,Offline,CAMRa2011,Movies,Group/GroupDecisions?,,Decoupled,Individual,One-session,?,item-based,organic (households),Permanent (households),"Relevance, Fairness",Algorithm,Problems: cannot obtain the data anymore - double check,,,,
https://www.sciencedirect.com/science/article/pii/S0167923621001731,,LP,Aggregating user preferences in group recommender systems: A crowdsourcing approach,Offline,ML100K,Movies,"No_groups, GroupDecisions",,Decoupled,Individual,One-session,4-128 groups,item-based,Random,Ephemeral,"Relevance, Fairness",Algorithm,Data,GenerationProcedure,,,
https://link.springer.com/article/10.1007/s40558-017-0099-y,,LP,A chat-based group recommender system for tourism,User Study,-,POIs,Group/GroupDecisions?,"15 participants, 6 groups, 1800 POIs",Questionaire,Individual,One-session,2-3,-,organic (Free decision of participants),Ephemeral,"Relevance, Interface perception",Algorithm,General characteristics only,General characteristics only,,,
https://ieeexplore.ieee.org/abstract/document/8074655,,LP,A combination of individual model on memory-based group recommender system to the books domain,Offline,Amazon Books,Books,No_groups,,Coupled,Individual,One-session,2-7,-,Similar,Ephemeral,"Relevance (RMSE, nDCG, F1)",Algorithm,Data,Problems: inner group similarity not clearly defined,,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9644586,,AD,A Novel Group Recommendation Model With Two-Stage Deep Learning,Offline,"Mafengwo, CAMRa2011, ML1M","Venues (POIs), Movies",GroupDecisions; No_groups,,Coupled,Group; Individual,One-session,avg: 7.19; 2.08; 5; 3 (only this is reported),"item-based,COM, DPMF-CNN, MoSAN, AGREE, SoAGREE","Similar (user-user pearson correaltion score above 0.27), Random",Permament and Ephemeral,"Relevance (HR, NDCG)",Algorithm,General characteristics; Data; ,General characteristics only,Problems: unclear ground truth,,
https://link.springer.com/chapter/10.1007/978-3-319-44799-5_12,,LP,Hootle+: A Group Recommender System Supporting Preference Negotiation,User Study,Expedia,Travel,GroupDecisions,"39 participants, 9 groups, 151K hotels",Questionaire,"Individual, Group",One-session,3-6,-,not specified,Ephemeral,"Relevance, Interface perception",Algorithm,General characteristics only,General characteristics only,,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8960474,,AD,An Efficient Group Recommendation Model With Multiattention-Based Neural Networks,Offline,"Meetup,ML1M",Events; Movies,GroupDecisions; No_groups,,Coupled,Group; Individual,One-session,3-8,"item-based, COM, DPMF-CNN, MoSAN, AGREE","Similar (user-user pearson correaltion score above 0.27), Random",Ephemeral,"Relevance (MAP@N, Recall@N, AUC@N)",Algorithm (with hyperparameters),Data (link does not work); General characteristics;,General characteristics only,,,
https://link.springer.com/article/10.1007/s11042-017-4922-4,,LP,Applying uncertainty theory to group recommender systems taking account of experts preferences,Offline,"ML100K, Gym","Movies, Sport",No_groups,,not clear,,One-session,3-7,item-based,Random,Ephemeral,"Relevance (precision, recall, F1)",Algorithm,Problems: cannot obtain the data (Gym) anymore - double check,GenerationProcedure,Problems: unclear metrics semantics,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8731382,,AD,Social Influence-Based Group Representation Learning for Group Recommendation,Offline,"Yelp, Douban","Restaurants, Events (POIs)",GroupDecisions,,Coupled,Group,One-session,avg: 4.5,"item-based, AGREE, PIT",organic (Same place same time + friends on social network),Ephemeral,"Relevance (HR, MRR)",Algorithm,"Yelp not available, Douban to check",GenerationProcedure,,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8807225,,AD,Social-Enhanced Attentive Group Recommendation,Offline,"CAMRa2011, Mafengwo","Movies, Venues (POIs)",GroupDecisions,,Coupled,Group,One-session,avg: 7.19; 2.08,"item-based, indivRS-groups-data; Popularity; COM; ",organic,Permament and Ephemeral,"Relevance (HR, NDCG)",Code,Data,,,,
https://ieeexplore.ieee.org/document/8523627,,AD,Dynamic Connection-Based Social Group Recommendation,Offline,"Flickr, ML100k, ML1M","Images, Movies",No_groups,,Coupled,Individual,One-session,Flickr: 10-1000; ML: <100 and >100,"COM, CF-RD, MFCF, TRIP",Random,Permament,"Relevance (P@N, Recall@N, nDCG)",Algorithm,Problems: No general chacracteristcs nor data available,Problems: Procedure vagualy described,,,
https://dl.acm.org/doi/pdf/10.1145/3109859.3109887,,AD,Fairness-Aware Group Recommendation with Pareto-Efficiency,Offline,"ML1M,  CAMRa2011",Movies,"No_groups,GroupDecisions (asumed)",,Decoupled,Individual/Group,OneSession,8,"item-based, SPGreedy, EFGreedy, GreedyLM,GreedyVar","Smilar, Random, Divergent","Ephemeral, Permament","Relevance (P@N, R@N, F@N, DCG, nDCG)",Algorithm,Problems: Too much randomness ,Problems: Procedure vagualy described,Problems: unclear ground truth,,
https://www.sciencedirect.com/science/article/pii/S0957417421008198,,LP,Group recommender system based on genre preference focusing on reducing the clustering cost,Offline,"ML100K, ML25M, Last.fm","Movies, Music",No_groups,,?Decoupled?,Individual,One-session,8-128 groups,item-based,Similar (k-means),Ephemeral,Relevance,Algorithm,"Problems: for some dataset post-processing, only general description was given",,Problems: unclear ground truth,to_remove,
https://www.sciencedirect.com/science/article/pii/S0888613X2200127X,,LP,A fuzzy content-based group recommender system with dynamic selection of the aggregation functions,Offline,"ML100K, HetRec",Movies,No_groups,,Coupled,Individual,One-session,3-4,item-based,SimilarWithSharedTest,Ephemeral,Relevance,Algorithm,Data,GenerationProcedure,,,
https://www.sciencedirect.com/science/article/pii/S0957417420303006,,LP,Aggregation of preference relations to enhance the ranking quality of collaborative filtering based group recommender system,Offline,"ML1M, ML20M, NetFlix",Movies,No_groups,,Coupled,Individual,One-session,5-30,"item-based, PR-GRS, GROD, VAE, MC-GR, NNMG-FT",Random,Ephemeral,"Relevance (precision, nDCG)",Algorithm,Data,GenerationProcedure,Problems: vague definition of ground truth (positive items),,
https://ieeexplore.ieee.org/abstract/document/9348091,,LP,Implicit Feedback-based Group Recommender System for Internet of Things Applications,Offline,"Last.fm, Delicious","Music, ",No_groups,,not clear,Individual,One-session,avg ~30,item-based,Similar,Ephemeral,"Relevance (MAE, MSE)",Algorithm,"Problems: unclear datasets, unclear data pre-processing",Problems: unclear generation procedure,Problems: unclear ground truth,,
https://link.springer.com/chapter/10.1007/978-3-319-48740-3_5,,LP,Nonparametric Bayesian Probabilistic Latent Factor Model for Group Recommender Systems,Offline,"ML100K, Amazon video game, Amazon digital music","Movies, Games, Music",No_groups,,Coupled,Individual,One-session,4-160 groups,item-based,Similar (k-means),Ephemeral,Relevance,Algorithm,Data,GenerationProcedure,,to_remove,
https://ieeexplore.ieee.org/abstract/document/8635454,,LP,An Enhanced Group Recommender System by Exploiting Preference Relation,Offline,"ML100K, Netflix",Movies,No_groups,,?not clear,Individual,One-session,5-25,item-based,Random,Ephemeral,Relevance,Algorithm,Data,GenerationProcedure,"Problems: unclear ground truth, results does not correspond to group size definitions",,
https://link.springer.com/chapter/10.1007/978-3-031-09316-6_13,,LP,"FARGO: A Fair, Context-AwaRe, Group RecOmmender System",Offline,Music dataset (artists preference),Music,GroupDecisions,"280 users, 498 context-aware groups",-,Individual + Group (only group used in eval),One-session,2-5,"item-based, GVAR, SPGreedy, EFGreedy, GFAR",not specified,Ephemeral,"Relevance, Fairness",Algorithm,"General characteristics, invalid dataset link",not specified,"Problems: raw data promissed, but the link to github is empty",,
https://link.springer.com/chapter/10.1007/978-3-031-09316-6_13,,LP,"FARGO: A Fair, Context-AwaRe, Group RecOmmender System",Offline,TV dataset,Movies,GroupDecisions,"7.9K users, 1.4M group viewings",-,Individual + Group (only group used in eval),One-session,not specified,"item-based, GVAR, SPGreedy, EFGreedy, GFAR",organic,Ephemeral,"Relevance, Fairness",Algorithm,Dataset not publicly available,not specified,,,
https://www.sciencedirect.com/science/article/pii/S0020025516300196,,LP,Recommending items to group of users using Matrix Factorization based Collaborative Filtering,Offline,"ML1M, Netflix",Movies,No_groups,,Coupled,Individual,One-session,2-12,item-based,Random (higher chance for heavy users),Ephemeral,Relevance,Algorithm,Data,GenerationProcedure,,,
https://ieeexplore.ieee.org/abstract/document/7436655,,LP,A Social Influence Approach for Group User Modeling in Group Recommendation Systems,User Study,Douban-based,Movies,No_groups,"127 users, 50 groups, users were asked to fill-in personality traits",?not clear,Group (not clear),One-session,not specified,item-based,not specified,Ephemeral,Relevance,Algorithm,General characteristics,not specified,Problems: rather vague description of group rating procedure - not clear whether group ratings or individual ratings are available,,
https://ieeexplore.ieee.org/abstract/document/7436655,,LP,A Social Influence Approach for Group User Modeling in Group Recommendation Systems,Offline,Ciao,Shopping,No_groups,,?not clear,Individual,One-session,not specified,item-based,not specified,Ephemeral,Relevance,Algorithm,General characteristics,not specified,"Problems: unclear group formation, unclear ground truth",,
https://www.sciencedirect.com/science/article/pii/S0167739X18320764,,LP,TruGRC: Trust-Aware Group Recommendation with Virtual Coordinators,Offline,"Ciao, Epinion",Shopping,No_groups,,Coupled,Individual,One-session,10-50,item-based,Random,Ephemeral,Relevance,Algorithm,Data,GenerationProcedure,,,
https://www.sciencedirect.com/science/article/pii/S0957417417307200,,LP,GIST: A generative model with individual and subgroup-based topics for group recommendation,Offline,Meetup,Events soc. network,GroupDecisions (Groups with unary feedback),,Coupled,Group,One-session,not specified,item-based,organic,Ephemeral,Relevance,Algorithm,Problems: cannot obtain the data anymore from the original location,Problems: cannot obtain the data anymore from the original location,,,"Note PD: Original link to data is not working, but I think I have found out an alternative one: https://ieee-dataport.org/documents/meetup-dataset#files"
https://www.sciencedirect.com/science/article/pii/S0957417417302294,,LP,Does order matter? Effect of order in group recommendation,Offline,ML20M,Movies,No_groups,,Decoupled,Individual,One-session,500-1200,item-based,Similar,Ephemeral,"Relevance, Fairness (least satisfaction)",Algorithm,Data,Problems: not much details given on the actual group formation procedure (only that it is similarity based),,,
https://www.sciencedirect.com/science/article/pii/S0167739X15003209,,LP,Discovery and representation of the preferences of automatically detected groups: Exploiting the link between group modeling and clustering,Offline,ML1M,Movies,No_groups,,Coupled,Individual,One-session,20-500 groups,item-based,Similar (k-means),Ephemeral,Relevance (RMSE),Algorithm,Data,GenerationProcedure,,to_remove,
https://www.sciencedirect.com/science/article/pii/S0167923616301695,,LP,An empirical study of natural noise management in group recommendation systems,Offline,"ML100K, Netflix Tiny",Movies,No_groups,,Coupled,Individual,One-session,5-15,item-based,Random,Ephemeral,Relevance (MAE),Algorithm,Data,GenerationProcedure,,,
https://dl.acm.org/doi/10.1145/3240323.3240357,,LP,Generation meets recommendation: proposing novel items for groups of users,Offline,"synthetic, MART, ML_TagGenome","Art, Movies",No_groups,,Qualitative study,Qualitative study,One-session,unclear,-,Similar (within recommendation phase),Ephemeral,Relevance,Algorithm,"Data, MLTagGenome:  pre-processing only generally described",not applicable,,,
https://ieeexplore.ieee.org/document/7919222,,LP,Opinion Dynamics-Based Group Recommender Systems,Offline,"ML100K, ML1M",Movies,No_groups,,Coupled,Individual,One-session,1-10,item-based,Random,Ephemeral,"Relevance (MAE, RMSE)",Algorithm,Data,GenerationProcedure,,,
https://ieeexplore.ieee.org/document/9153841,,AD,Social Group Recommendation With TrAdaBoost,Offline,"CAMRa2011, Mafengwo, ML1M","Movies, Places",GroupDecisions; No_groups,,Coupled,Individual+Group,One-session,"avg: 2,7,5,3","item-based, COM, AGREE, MoSAN, ","organic, random, similar","Ephemeral, Permament","Relevance (HR, nDCG@k)",Algorithm,Data,GenerationProcedure,,,
https://dl.acm.org/doi/abs/10.1145/3450614.3461679,,LP,Fairness-preserving Group Recommendations With User Weighting,Offline,"ML1M, KGRec","Movies, Music",No_groups,,Decoupled,Individual,"One-session, Multi-session",2-8,"item-based, SPGreedy, GreedyLM, XPO, GFAR, FuzzDA","Similar, Divergent","Ephemeral, Permament","Relevance, Fairness",Code,Data,GeneratedGroups,,,
https://dl.acm.org/doi/abs/10.1145/3383313.3412232,,LP,Ensuring Fairness in Group Recommendations by Rank-Sensitive Balancing of Relevance,Offline,"ML1M, KGRec","Movies, Music",No_groups,,Coupled,Individual,One-session,2-8,"item-based, FAI, SPGreedy, GreedyLM, XPO","Similar, Random, Divergent",Ephemeral,"Relevance, Fairness",Code,Data,GeneratedGroups,,,
https://dl.acm.org/doi/10.1145/3297280.3297442,,LP,Top-N group recommendations with fairness,Offline,ML1M,Movies,No_groups,,Decoupled,Individual,One-session,2-8,"item-based, SPGreedy, EFGreedy, GreedyLM","Similar, Random",Ephemeral,"Relevance, Fairness",Algorithm,Data,GenerationProcedure,,,
https://dl.acm.org/doi/abs/10.1145/3038912.3052612,,LP,Fairness in Package-to-Group Recommendations,Offline,Yelp (Phoenix),POIs,No_groups,,Decoupled,Individual,One-session,4-16,-,Divergent,Ephemeral,"Relevance, Fairness",Algorithm,Data,GenerationProcedure,,,
https://dl.acm.org/doi/abs/10.1145/3038912.3052612,,LP,Fairness in Package-to-Group Recommendations,User study,,Movies,GroupDecisions,10 users 4 groups,-,Group,One-session,2-4,-,not specified,Ephemeral,Fairness,Algorithm,General characteristics,General characteristics,,,
https://dl.acm.org/doi/10.1145/3109859.3109887,,LP,Fairness-Aware Group Recommendation with Pareto-Efficiency,Offline,"ML1M, CAMRa2011",Movies,"No_groups, GroupDecisions",,Decoupled,"Individual, Group",One-session,"2-4, 8","item-based, SPGreedy, EFGreedy","Similar, Random, Divergent","Ephemeral, Permament","Relevance, Fairness",Algorithm,Data,GenerationProcedure,,,
https://dl.acm.org/doi/abs/10.1145/3539597.3570400,,LP,Self-Supervised Group Graph Collaborative Filtering for Group Recommendation,Offline,"Weeplaces, Douban, Yelp","POIs, Restaurants, Events",GroupDecisions,,Coupled,Group,One-session,"avg: 2.9, 4.9, 4.5","item-based, graph-convolution, AGREE, GroupIM, HHGR",organic,Ephemeral,"Relevance (NDCG, Recall)",Algorithm,"Yelp not available, Weeplaces & Douban to check",GenerationProcedure,,,
https://dl.acm.org/doi/abs/10.1145/3563359.3597386,,LP,The Effect of Similarity Metric and Group Size on Outlier Selection & Satisfaction in Group Recommender Systems,Offline,ML1M,Movies,No_groups,,Coupled,Individual,One-session,4-100,"item-based, FAI, GFAR, GreedyLM, EP-FuzzDA","Similar, outliers",Ephemeral,"Relevance (precision@10, majority vs. minority comparison)",Code,Data,GenerationCode,,,
https://link.springer.com/article/10.1007/s11063-023-11376-0,,LP,DFGR: Diversity and Fairness Awareness of Group Recommendation in an Event-based Social Network,Offline,"Douban, Meetup",Events (POIs),No_groups,,Coupled,Individual,"unclear, assuming one session",unclear,"item-based,MoFIR, GFAR, FPGR, MTAF",not specified,unclear,"Relevance (NDCG, Recall), diversity (topic coverage), Fairness (min/max)",Algorithm,Data,"Problems: group construction unclear (perhaps the same as in original dataset papers?)
",Problems: no details on the timestamp ,,
https://www.sciencedirect.com/science/article/pii/S0306437922001065,,LP,SQUIRREL: A framework for sequential group recommendations through reinforcement learning,Offline,"ML20M, GoodReads, Amazon","Movies, books, products",No_groups,,Decoupled,Individual,Sequence of sessions,5-9,"item-based, RP80, GreedyLM, SDAA, SIAA","Outliers (4 similar + 1 dissimilar), 5 Dissimilar",,"Relevance (individual loss, nDCG, DFH), Fairness (disagreement)",Algorithm,Data,GenerationProcedure,,,
https://www.sciencedirect.com/science/article/pii/S0957417422023120,,LP,A fuzzy intelligent group recommender method in sparse-data environments based on multi-agent negotiation,Offline,TripAdvisor (private collection),Restaurants (POIs),No_groups,600 users -> 20 groups,Unclear,Individual,One-session,unknown,unknown,Unknown (2+ mutual items),Ephemeral,"Relevance (nDCG, TRD)",Algorithm,No dataset provided,"Problems: group construction unclear, only some conditions specified
",,,
https://www.sciencedirect.com/science/article/pii/S0957417423001823#b0015,,LP,Hybrid POI group recommender system based on group type in LBSN,Offline,LBSN Swarm (Ankara),POIs,GroupDecisions,"1.6K users, 9K groups, 70K user check-ins, 46K group check-ins",Coupled,Group,One-session,2-12,"item-based, indivrs-groups-data,  Infl, Infl_cmean, BGLR",organic,Ephemeral+Permanent,"Relevance (Precision, Recall@K)",Algorithm,Data generation scripts + data on demand,Groups,,,
https://dl.acm.org/doi/pdf/10.1145/3091478.3091485,,LP,Where Could We Go? Recommendations for Groups in Location-Based Social Networks,Offline,LBSN Swarm,POIs,GroupDecisions,"1.6K users, 9K groups, 70K user check-ins, 46K group check-ins",-,Group,One-session,2-21,"item-based, indivRS-groups-data",organic,Ephemeral+Permanent,"Relevance (Precision, Recall@K)",Code,Data generation scripts + data on demand,Groups,,,
https://link.springer.com/article/10.1007/s11257-023-09363-0,,FB,Evaluating explainable social choice-based aggregation strategies for group recommendation,User study,-,Restaurants,No_groups,2 studies (N=399 + N=288),-,,Assume several interactions with the system,5,item-based,users as external referies,Permanent,"Perceived consensus, Perceived Fairness, Satisfaction (Likert scale)",Algorithms,Datasets published,Groups configurations provided,Anlysis code published,,
https://dl.acm.org/doi/full/10.1145/3542804,,LP,Performance Evaluation of Aggregation-based Group Recommender Systems for Ephemeral Groups,Offline,"ML100K, Amazon Reviews (Food), Amazon Reviews (Tools)","Movies, products",No_groups,,Decoupled,Individual,One-session,2-50,"item-based, preference-aggregation","random, similar, divergent, combined",Ephemeral,"Relevance (HR, nDCG@k), Diversity, Coverage",Algorithm,Data,General characteristics,,,
https://ieeexplore.ieee.org/abstract/document/9874775,,LP,A Hierarchical Attention Network for Cross-Domain Group Recommendation,Offline,"CAMRa2011, Mafengwo,ML_Latest-small; (source data: Yelp+ ML1M+ ML25M)","Movies, Places (POIs)",No_groups + (some datasets) GroupDecisions,,Coupled,Individual + Group,One-session,6,"indivRS-groups-data, GRADI, GAME","organic, similar",Ephemeral+Permanent,"Relevance (HR, nDCG@k)",Code,Data,Groups + General characteristics,,,
https://ieeexplore.ieee.org/abstract/document/9906312,,LP,HetGRec: Heterogeneous Graph Attention Network for Group Recommendation,Offline,"CAMRa2011, ML1M",Movies,GroupDecisions + No_groups,,Coupled,Individual + Group,One-session,"avg:2, 5","item-based, AGREE, MoSAN, GAME, KGAG","organic, similar, random",Ephemeral+Permanent,"Relevance (HR, nDCG@k)",Algorithm,Some datasets not available,Groups + General characteristics,,,
https://link.springer.com/article/10.1007/s11280-022-01035-0,,LP,Intra- and inter-association attention network-enhanced policy learning for social group recommendation,Offline,"CAMRa2011, Douban, Yelp, Mafengwo","Movies, Restaurants, Events, Places (POIs)",GroupDecisions + No_groups,,Coupled,Group,One-session,avg:2 - 7,"AGREE, SA-NCF, SIGR, MoSAN, GroupIM",organic (Same place same time + friends on social network),Ephemeral+Permanent,"Relevance (HR, nDCG@k)",Algorithm,Data,"Groups, GenerationProcedure",,,
https://link.springer.com/chapter/10.1007/978-3-031-21203-1_20,,LP,Preference Aggregation Mechanisms for a Tourism-Oriented Bayesian Recommender,Offline,-,POIs,No_groups,430POIs from Crete,Decoupled,Individual,One-session,5-20,item-based,not specified,Ephemeral,"Fairness (m-proportionality, m-envy-freeness)",Algorithm,No dataset provided,"Problems: group construction unclear
",,,
